COIN	COIN_ABR	DATE	OPEN	HIGH	LOW	CLOSE
ripple	XRP	2017-04-25	0.031409	0.033826	0.031297	0.032346
bitcoin	BTC	2017-04-26	1265.99	1294.83	1265.93	1281.08
ethereum	ETH	2017-04-26	49.91	53.44	49.91	52.72
litecoin	LTC	2017-04-26	15.21	15.79	14.56	14.85
ripple	XRP	2017-04-26	0.03239	0.033509	0.032183	0.032797
bitcoin	BTC	2017-04-27	1281.88	1319.7	1281.3	1317.73
ethereum	ETH	2017-04-27	52.81	62.17	52.29	62.17
litecoin	LTC	2017-04-27	14.84	15	13.47	14.62
ripple	XRP	2017-04-27	0.032827	0.035376	0.032157	0.034816
bitcoin	BTC	2017-04-28	1317.74	1331.28	1292.37	1316.48
ethereum	ETH	2017-04-28	62.23	70.85	62.13	70.16
litecoin	LTC	2017-04-28	14.59	14.78	14.06	14.34
ripple	XRP	2017-04-28	0.034843	0.045111	0.034784	0.044475
bitcoin	BTC	2017-04-29	1317.84	1327.2	1315.21	1321.79
ethereum	ETH	2017-04-29	71.39	71.9	66.78	68.38
litecoin	LTC	2017-04-29	14.4	15.77	14.36	15.74
ripple	XRP	2017-04-29	0.044558	0.057719	0.044558	0.052868
bitcoin	BTC	2017-04-30	1321.87	1347.91	1314.92	1347.89
ethereum	ETH	2017-04-30	68.54	79.02	68.35	79.02
litecoin	LTC	2017-04-30	15.7	16.07	15.47	15.71
ripple	XRP	2017-04-30	0.052807	0.054646	0.049574	0.051607
bitcoin	BTC	2017-05-01	1348.3	1434.32	1348.3	1421.6
ethereum	ETH	2017-05-01	79.32	82.52	73.09	76.3
litecoin	LTC	2017-05-01	15.71	16.37	14.88	15.92
ripple	XRP	2017-05-01	0.05158	0.057779	0.049317	0.055115
bitcoin	BTC	2017-05-02	1421.03	1473.9	1415.69	1452.82
ethereum	ETH	2017-05-02	76.65	79.35	74.38	77.26
litecoin	LTC	2017-05-02	15.92	16.23	15.15	15.89
ripple	XRP	2017-05-02	0.054646	0.055639	0.05071	0.053908
bitcoin	BTC	2017-05-03	1453.78	1492.77	1447.49	1490.09
ethereum	ETH	2017-05-03	77.25	80.1	75.76	79.72
litecoin	LTC	2017-05-03	15.88	21.8	15.67	21.04
ripple	XRP	2017-05-03	0.053905	0.061435	0.052283	0.06049
bitcoin	BTC	2017-05-04	1490.72	1608.91	1490.72	1537.67
ethereum	ETH	2017-05-04	79.72	97.56	79.43	96.98
litecoin	LTC	2017-05-04	21.04	25.69	20.86	23.39
ripple	XRP	2017-05-04	0.061062	0.085499	0.059283	0.078914
bitcoin	BTC	2017-05-05	1540.87	1618.03	1530.31	1555.45
ethereum	ETH	2017-05-05	96.73	103.23	92.22	94.4
litecoin	LTC	2017-05-05	23.47	27.85	23.42	26.27
ripple	XRP	2017-05-05	0.080229	0.106935	0.078704	0.09355
bitcoin	BTC	2017-05-06	1556.81	1578.8	1542.5	1578.8
ethereum	ETH	2017-05-06	94.91	97.88	90.95	97.81
litecoin	LTC	2017-05-06	26.47	28.59	25.49	28.16
ripple	XRP	2017-05-06	0.093429	0.106144	0.093429	0.101791
bitcoin	BTC	2017-05-07	1579.47	1596.72	1559.76	1596.71
ethereum	ETH	2017-05-07	97.87	98.24	89.87	94.01
litecoin	LTC	2017-05-07	28.2	31.37	28.2	30.29
ripple	XRP	2017-05-07	0.101929	0.148274	0.098938	0.141763
bitcoin	BTC	2017-05-08	1596.92	1723.35	1596.92	1723.35
ethereum	ETH	2017-05-08	93.75	95.14	89.51	91.42
litecoin	LTC	2017-05-08	30.37	30.74	27.33	28.96
ripple	XRP	2017-05-08	0.14162	0.237587	0.135105	0.198212
bitcoin	BTC	2017-05-09	1723.89	1833.49	1716.3	1755.36
ethereum	ETH	2017-05-09	91.23	93.06	80.39	91.16
litecoin	LTC	2017-05-09	28.96	33.76	24.49	33.58
ripple	XRP	2017-05-09	0.199198	0.21689	0.134406	0.160074
bitcoin	BTC	2017-05-10	1756.52	1788.44	1719.1	1787.13
ethereum	ETH	2017-05-10	91.15	92.85	85.29	89.52
litecoin	LTC	2017-05-10	33.3	37.33	31.22	31.96
ripple	XRP	2017-05-10	0.158471	0.201207	0.156363	0.186066
bitcoin	BTC	2017-05-11	1780.37	1873.93	1755.35	1848.57
ethereum	ETH	2017-05-11	89.77	102.55	88.48	89.88
litecoin	LTC	2017-05-11	32.66	32.91	28.03	30.72
ripple	XRP	2017-05-11	0.185035	0.194828	0.162431	0.183135
bitcoin	BTC	2017-05-12	1845.76	1856.15	1694.01	1724.24
ethereum	ETH	2017-05-12	89.43	93.12	88.66	88.66
litecoin	LTC	2017-05-12	30.93	31.68	27.37	27.45
ripple	XRP	2017-05-12	0.18276	0.209535	0.180984	0.206068
bitcoin	BTC	2017-05-13	1723.12	1812.99	1651.08	1804.91
ethereum	ETH	2017-05-13	88.69	93.81	86.66	90.84
litecoin	LTC	2017-05-13	27.22	28.91	25.52	28.91
ripple	XRP	2017-05-13	0.206697	0.223602	0.18698	0.214878
bitcoin	BTC	2017-05-14	1800.86	1831.42	1776.62	1808.91
ethereum	ETH	2017-05-14	90.87	91.25	89.61	90.79
litecoin	LTC	2017-05-14	29.09	30.45	27.79	28.89
ripple	XRP	2017-05-14	0.215179	0.223486	0.211186	0.220223
bitcoin	BTC	2017-05-15	1808.44	1812.8	1708.54	1738.43
ethereum	ETH	2017-05-15	90.78	95.43	86.83	92.41
litecoin	LTC	2017-05-15	28.89	28.93	25.19	25.37
ripple	XRP	2017-05-15	0.220069	0.27072	0.220069	0.27072
bitcoin	BTC	2017-05-16	1741.7	1785.94	1686.54	1734.45
ethereum	ETH	2017-05-16	92.39	93.56	89.12	89.44
litecoin	LTC	2017-05-16	25.34	25.34	22.81	23.33
ripple	XRP	2017-05-16	0.269824	0.349861	0.269824	0.349861
bitcoin	BTC	2017-05-17	1726.73	1864.05	1661.91	1839.09
ethereum	ETH	2017-05-17	89.25	91.27	84.43	89.86
litecoin	LTC	2017-05-17	23.24	25.95	20.8	25.4
